	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	N	mean	sd	p25	p50	p75
						
lend_byaum_bps	1,752.00	3.14	6.07	0.12	0.92	3.26
mer_bps	1,752.00	25.35	18.82	12.00	18.00	35.00
tr_error_bps	1,752.00	28.78	36.55	10.04	15.25	31.97
perf_drag_bps	1,752.00	-1.87	6.18	-2.15	-1.17	-0.48
turnover_frac	1,750.00	5.89	8.60	1.26	2.17	5.81
marketing_fee_bps	1,752.00	3.29	7.74	0.00	0.00	0.60
mgr_duration	1,719.00	5.27	0.92	4.87	5.49	5.85
ratio_tii	1,703.00	81.18	17.63	74.67	86.58	93.29
ratio_tra	1,673.00	0.23	0.21	0.08	0.16	0.29
stock_tweets_raw	1,752.00	41.93	449.86	1.07	1.36	2.02
spread_bps_crsp	1,752.00	7.61	9.08	2.44	4.56	8.61
eff_spread_bps	1,752.00	4.68	6.33	1.61	2.64	4.78
rspread_bps	1,752.00	3.19	5.84	0.36	1.23	3.32
aum_bn	1,752.00	13.95	33.21	1.11	4.21	12.90
other_expenses_100	1,752.00	3.23	5.09	0.00	0.00	4.00
fee_waivers_100	1,752.00	-0.61	2.62	0.00	0.00	0.00
						
